,dir,analysis_id,file_name,size,analysis_data_uri,cellid
38,2,9849b139-ff56-4bb4-ba3f-d3fa7cefa619,G27528.RPMI-7951.2.bam,15792173660,https://cghub.ucsc.edu/cghub/data/analysis/download/9849b139-ff56-4bb4-ba3f-d3fa7cefa619,RPMI-7951
39,2,76c7b20b-d43e-4401-a111-3251a8f70e66,G27538.RH-18.2.bam,17824054329,https://cghub.ucsc.edu/cghub/data/analysis/download/76c7b20b-d43e-4401-a111-3251a8f70e66,RH-18
40,2,b527e136-3903-49d9-b27e-a047926e3e0e,G27509.RERF-LC-Ad1.2.bam,19844942657,https://cghub.ucsc.edu/cghub/data/analysis/download/b527e136-3903-49d9-b27e-a047926e3e0e,RERF-LC-Ad1
41,2,f986418f-38dd-4b0e-bfb2-c4ba00209203,G27474.RPMI-8402.2.bam,16593725983,https://cghub.ucsc.edu/cghub/data/analysis/download/f986418f-38dd-4b0e-bfb2-c4ba00209203,RPMI-8402
42,2,38b4fb43-51d2-48d6-9742-785004534eb8,G27455.RL95-2.2.bam,16865064075,https://cghub.ucsc.edu/cghub/data/analysis/download/38b4fb43-51d2-48d6-9742-785004534eb8,RL95-2
43,2,00bc84f8-6053-440f-a27d-f2dbd6701eb2,G27541.RERF-LC-Ad2.2.bam,16474497977,https://cghub.ucsc.edu/cghub/data/analysis/download/00bc84f8-6053-440f-a27d-f2dbd6701eb2,RERF-LC-Ad2
44,2,c5b5dba9-1eee-43ec-a097-dc72d45b20da,G27219.Panc_03.27.1.bam,12765005395,https://cghub.ucsc.edu/cghub/data/analysis/download/c5b5dba9-1eee-43ec-a097-dc72d45b20da,Panc_03.27
45,2,ffc96273-11af-4ea7-826b-e7736a5f8130,G27224.RERF-GC-1B.1.bam,14584048584,https://cghub.ucsc.edu/cghub/data/analysis/download/ffc96273-11af-4ea7-826b-e7736a5f8130,RERF-GC-1B
46,2,28b7b8bc-3542-4d63-a9c8-1045877c38f6,G27521.RI-1.2.bam,18735944222,https://cghub.ucsc.edu/cghub/data/analysis/download/28b7b8bc-3542-4d63-a9c8-1045877c38f6,RI-1
47,2,dedc7155-6552-481a-8cac-41738672862a,G28556.Panc_02.03.1.bam,19499752179,https://cghub.ucsc.edu/cghub/data/analysis/download/dedc7155-6552-481a-8cac-41738672862a,Panc_02.03
48,2,80cae413-27da-4114-8a7c-3d324e346b52,G27269.RKN.1.bam,15840695849,https://cghub.ucsc.edu/cghub/data/analysis/download/80cae413-27da-4114-8a7c-3d324e346b52,RKN
49,2,cf1c8df6-caee-4e38-90ff-4bc0a713f8a4,G27230.RMG-I.1.bam,11880664790,https://cghub.ucsc.edu/cghub/data/analysis/download/cf1c8df6-caee-4e38-90ff-4bc0a713f8a4,RMG-I
50,2,10afe75e-20b3-4599-9f13-20d8cc506dde,G27530.PL-21.2.bam,18728357930,https://cghub.ucsc.edu/cghub/data/analysis/download/10afe75e-20b3-4599-9f13-20d8cc506dde,PL-21
51,2,3051f39a-7881-4d7b-a13b-c5395e5b4ef3,G27476.PK-59.2.bam,19131449950,https://cghub.ucsc.edu/cghub/data/analysis/download/3051f39a-7881-4d7b-a13b-c5395e5b4ef3,PK-59
52,2,1c65a061-2b43-40ff-a90b-faf415135d01,G27483.S-117.2.bam,17262285982,https://cghub.ucsc.edu/cghub/data/analysis/download/1c65a061-2b43-40ff-a90b-faf415135d01,S-117
53,2,199b41f7-d658-489a-99de-737f1ef7e0ee,G28568.Panc_02.13.1.bam,17364053165,https://cghub.ucsc.edu/cghub/data/analysis/download/199b41f7-d658-489a-99de-737f1ef7e0ee,Panc_02.13
54,2,e3aa3fb2-6eee-4123-8eab-1dc00d643acf,G27477.RH-41.2.bam,18015924951,https://cghub.ucsc.edu/cghub/data/analysis/download/e3aa3fb2-6eee-4123-8eab-1dc00d643acf,RH-41
55,2,2dcd35cd-16e6-4c59-9f0f-ec7f0dd416ca,G27519.Raji.2.bam,19248589203,https://cghub.ucsc.edu/cghub/data/analysis/download/2dcd35cd-16e6-4c59-9f0f-ec7f0dd416ca,Raji
56,2,315a776d-aee2-4960-b6ed-bda8e4395eb1,G27503.RCM-1.2.bam,17360151876,https://cghub.ucsc.edu/cghub/data/analysis/download/315a776d-aee2-4960-b6ed-bda8e4395eb1,RCM-1
57,2,4ba05556-23aa-440b-9624-b7acf0ea439e,G27284.SBC-5.1.bam,15114787572,https://cghub.ucsc.edu/cghub/data/analysis/download/4ba05556-23aa-440b-9624-b7acf0ea439e,SBC-5
58,2,a73f2a0f-199d-4b21-a077-1403036cd454,G27520.SCC-9.2.bam,21313702510,https://cghub.ucsc.edu/cghub/data/analysis/download/a73f2a0f-199d-4b21-a077-1403036cd454,SCC-9
59,2,1ad064d0-4b42-41ae-bf81-82f7eef4892c,G28589.Panc_04.03.1.bam,17937349559,https://cghub.ucsc.edu/cghub/data/analysis/download/1ad064d0-4b42-41ae-bf81-82f7eef4892c,Panc_04.03
60,2,fa4c4a66-f66a-4059-b810-6121d72ec6bd,G27473.RCC10RGB.2.bam,21604880661,https://cghub.ucsc.edu/cghub/data/analysis/download/fa4c4a66-f66a-4059-b810-6121d72ec6bd,RCC10RGB
61,2,0d7eb69e-4434-4a77-b0dd-17c0783c73e2,G27491.RERF-LC-Sq1.2.bam,17501222815,https://cghub.ucsc.edu/cghub/data/analysis/download/0d7eb69e-4434-4a77-b0dd-17c0783c73e2,RERF-LC-Sq1
62,2,fa93afa3-d589-4f5b-8b7c-52211c416923,G27294.SCC-25.1.bam,13442279141,https://cghub.ucsc.edu/cghub/data/analysis/download/fa93afa3-d589-4f5b-8b7c-52211c416923,SCC-25
63,2,1327bac0-cbc4-4e26-b45d-6d9a1d24ef11,G27281.RERF-LC-MS.1.bam,12899780822,https://cghub.ucsc.edu/cghub/data/analysis/download/1327bac0-cbc4-4e26-b45d-6d9a1d24ef11,RERF-LC-MS
64,2,626a2d5a-e52f-4051-b21b-193d48cb370a,G27478.PK-45H.2.bam,20489725913,https://cghub.ucsc.edu/cghub/data/analysis/download/626a2d5a-e52f-4051-b21b-193d48cb370a,PK-45H
65,2,a378e526-23e9-455b-806a-288de72ab840,G27250.Reh.1.bam,12314922659,https://cghub.ucsc.edu/cghub/data/analysis/download/a378e526-23e9-455b-806a-288de72ab840,Reh
66,2,337021cb-8115-4d54-861a-81fdf4d6aa43,G27470.Pfeiffer.2.bam,19876163395,https://cghub.ucsc.edu/cghub/data/analysis/download/337021cb-8115-4d54-861a-81fdf4d6aa43,Pfeiffer
67,2,9e044467-fe21-4432-b473-f6d197b823df,G27231.RMUG-S.1.bam,13101023642,https://cghub.ucsc.edu/cghub/data/analysis/download/9e044467-fe21-4432-b473-f6d197b823df,RMUG-S
68,2,79e4844b-0e1c-4b0a-be06-0ec1b39d4acd,G27500.PEER.2.bam,17631051499,https://cghub.ucsc.edu/cghub/data/analysis/download/79e4844b-0e1c-4b0a-be06-0ec1b39d4acd,PEER
69,2,83f293a9-3646-480f-8ccb-0ba567bb5629,G28563.Panc_05.04.1.bam,16759177411,https://cghub.ucsc.edu/cghub/data/analysis/download/83f293a9-3646-480f-8ccb-0ba567bb5629,Panc_05.04
70,2,4eda2bec-df32-44aa-85b0-5a9376fdd358,G27498.REC-1.2.bam,18892417494,https://cghub.ucsc.edu/cghub/data/analysis/download/4eda2bec-df32-44aa-85b0-5a9376fdd358,REC-1
71,2,2367554a-2b7c-4f5c-bffd-9cf5cc40faad,G27535.RD.2.bam,21341723301,https://cghub.ucsc.edu/cghub/data/analysis/download/2367554a-2b7c-4f5c-bffd-9cf5cc40faad,RD
